Pathway;Pathway_total;Hits_total;Hits_sig;Expected;P_Fisher;P_EASE;P_Gamma;Emp_Hits;Empirical;AdjP_Fisher;AdjP_EASE;AdjP_Gamma;Pathway_Number;cpd_hits;Condition;Sex;EnrichFactor
Putative anti-Inflammatory metabolites formation from EPA;19;3;2;0,346460;0,0018406;0,030465;0,00054405;0;0,00;0,0312902;0,517905;0,00924885;P1;"EC000100;EC000101;EC000124";Acid;Female;5,772672169947469
Fatty Acid Metabolism;35;3;2;0,346460;0,0368260;0,280670;0,00063053;2;0,02;0,5892160;1,000000;0,01008848;P2;"EC00014;EC00017";Acid;Female;5,772672169947469
Linoleate metabolism;30;6;3;0,346460;0,0368260;0,280670;0,00063053;1;0,01;0,5892160;1,000000;0,01008848;P3;"EC00070;EC000108";Acid;Female;8,659008254921202
Glycosphingolipid metabolism;56;9;4;0,952760;0,0535900;0,206320;0,00067692;9;0,09;0,7502600;1,000000;0,01008848;P4;"EC00017;EC00021;EC00057";Acid;Female;4,198329065032117
Xenobiotics metabolism;103;1;1;0,086614;0,0859380;1,000000;0,00077677;3;0,03;1,0000000;1,000000;0,01009801;P5;EC00017;Acid;Female;11,545477636409819
Omega-3 fatty acid metabolism;38;3;3;0,692910;0,1414500;0,488340;0,00098558;7;0,07;1,0000000;1,000000;0,01182696;P6;"EC00075;EC00090";Acid;Female;4,329566610382301
Glycerophospholipid metabolism;146;13;4;1,472400;0,1630600;0,394120;0,00108210;7;0,07;1,0000000;1,000000;0,01190310;P7;"EC00014;EC00021;EC00090";Acid;Female;2,716653083401250
Glycosphingolipid biosynthesis - ganglioseries;38;4;1;0,259840;0,2380000;1,000000;0,00150120;6;0,06;1,0000000;1,000000;0,01501200;P8;EC00057;Acid;Female;3,848522167487685
Phosphatidylinositol phosphate metabolism;48;4;1;0,346460;0,3050500;1,000000;0,00202270;20;0,20;1,0000000;1,000000;0,01820430;P9;EC00017;Acid;Female;2,886336084973734
Saturated fatty acids beta-oxidation;27;3;1;0,346460;0,3050500;1,000000;0,00202270;16;0,16;1,0000000;1,000000;0,01820430;P10;EC00017;Acid;Female;2,886336084973734
Squalene and cholesterol biosynthesis;53;9;3;0,346460;0,3050500;1,000000;0,00202270;4;0,04;1,0000000;1,000000;0,01820430;P11;EC00014;Acid;Female;8,659008254921202
C21-steroid hormone biosynthesis and metabolism;77;14;1;0,606300;0,4753300;1,000000;0,00443950;21;0,21;1,0000000;1,000000;0,02663700;P12;EC00014;Acid;Female;1,649348507339601
De novo fatty acid biosynthesis;73;7;3;1,559100;0,4779000;0,793260;0,00449420;59;0,59;1,0000000;1,000000;0,02663700;P13;"EC00017;EC00090";Acid;Female;1,924187030979411
Bile acid biosynthesis;64;14;1;0,692910;0,5230300;1,000000;0,00558750;18;0,18;1,0000000;1,000000;0,02663700;P14;EC00014;Acid;Female;1,443188870127434
Sialic acid metabolism;89;14;1;0,779530;0,5667500;1,000000;0,00693360;30;0,30;1,0000000;1,000000;0,02663700;P15;EC00057;Acid;Female;1,282824265903814
Fatty acid activation;78;9;3;2,078700;0,6509200;0,884940;0,01068500;69;0,69;1,0000000;1,000000;0,02663700;P16;"EC00017;EC00090";Acid;Female;1,443209698369173
Arachidonic acid metabolism;73;17;1;1,385800;0,7843500;1,000000;0,02277700;68;0,68;1,0000000;1,000000;0,02663700;P17;EC00090;Acid;Female;0,721604849184587
Fatty Acid Metabolism;35;3;3;0,566930;0,0087008;0,085127;0,00056837;0;0,00;0,2175200;1,000000;0,01420925;P1;"EC00014;EC00017;EC00020";Temp;Female;5,291658582188277
Linoleate metabolism;30;6;6;0,566930;0,0087008;0,085127;0,00056837;0;0,00;0,2175200;1,000000;0,01420925;P2;"EC00070;EC000107;EC000108";Temp;Female;10,583317164376554
C21-steroid hormone biosynthesis and metabolism;77;14;7;0,992130;0,0573890;0,233480;0,00069772;3;0,03;1,0000000;1,000000;0,01604756;P3;"EC00014;EC00048;EC00082";Temp;Female;7,055526997470090
Phosphatidylinositol phosphate metabolism;48;4;2;0,566930;0,0946810;0,438600;0,00081734;5;0,05;1,0000000;1,000000;0,01798148;P4;"EC00017;EC00016";Temp;Female;3,527772388125518
Putative anti-Inflammatory metabolites formation from EPA;19;3;2;0,566930;0,0946810;0,438600;0,00081734;8;0,08;1,0000000;1,000000;0,01798148;P5;"EC000100;EC000124";Temp;Female;3,527772388125518
Saturated fatty acids beta-oxidation;27;3;2;0,566930;0,0946810;0,438600;0,00081734;6;0,06;1,0000000;1,000000;0,01798148;P6;"EC00017;EC00020";Temp;Female;3,527772388125518
Omega-6 fatty acid metabolism;41;1;1;0,141730;0,1406200;1,000000;0,00099482;6;0,06;1,0000000;1,000000;0,01890158;P7;EC00016;Temp;Female;7,055669230226488
Xenobiotics metabolism;103;1;1;0,141730;0,1406200;1,000000;0,00099482;9;0,09;1,0000000;1,000000;0,01890158;P8;EC00017;Temp;Female;7,055669230226488
Carnitine shuttle;62;3;2;0,708660;0,1446000;0,515570;0,00101200;11;0,11;1,0000000;1,000000;0,01890158;P9;"EC00020;EC00059";Temp;Female;2,822227866677956
Glycosphingolipid metabolism;56;9;4;1,559100;0,1859600;0,445460;0,00120990;23;0,23;1,0000000;1,000000;0,01935840;P10;"EC00017;EC00021;EC000103";Temp;Female;2,565582707972548
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis;4;2;1;0,283460;0,2624300;1,000000;0,00169100;13;0,13;1,0000000;1,000000;0,02536500;P11;EC00016;Temp;Female;3,527834615113244
Lysine metabolism;43;1;1;0,283460;0,2624300;1,000000;0,00169100;11;0,11;1,0000000;1,000000;0,02536500;P12;EC00020;Temp;Female;3,527834615113244
Prostaglandin formation from arachidonate;48;4;1;0,283460;0,2624300;1,000000;0,00169100;9;0,09;1,0000000;1,000000;0,02536500;P13;EC00016;Temp;Female;3,527834615113244
Glycosphingolipid biosynthesis - globoseries;17;3;1;0,425200;0,3677900;1,000000;0,00271330;28;0,28;1,0000000;1,000000;0,03255960;P14;EC000126;Temp;Female;2,351834430856067
Glycerophospholipid metabolism;146;13;5;2,409400;0,4403700;0,700390;0,00379410;37;0,37;1,0000000;1,000000;0,04173510;P15;"EC00014;EC00016;EC00021";Temp;Female;2,075205445339088
Squalene and cholesterol biosynthesis;53;9;3;0,566930;0,4588300;1,000000;0,00413810;20;0,20;1,0000000;1,000000;0,04173510;P16;EC00014;Temp;Female;5,291658582188277
De novo fatty acid biosynthesis;73;7;3;2,551200;0,4825400;0,732890;0,00463060;55;0,55;1,0000000;1,000000;0,04173510;P17;"EC00016;EC00017;EC00059";Temp;Female;1,175917215428034
Leukotriene metabolism;89;3;1;0,708660;0,5373900;1,000000;0,00603610;20;0,20;1,0000000;1,000000;0,04828880;P18;EC00016;Temp;Female;1,411113933338978
Vitamin A (retinol) metabolism;55;14;5;2,267700;0,6984800;0,912610;0,01388100;56;0,56;1,0000000;1,000000;0,09716700;P19;"EC00016;EC00034";Temp;Female;2,204877188340610
Fatty acid activation;78;9;4;3,401600;0,7024100;0,874090;0,01418600;71;0,71;1,0000000;1,000000;0,09716700;P20;"EC00016;EC00017;EC00059";Temp;Female;1,175917215428034
Bile acid biosynthesis;64;14;1;1,133900;0,7134300;1,000000;0,01508400;47;0,47;1,0000000;1,000000;0,09716700;P21;EC00014;Temp;Female;0,881911985183879
Omega-3 fatty acid metabolism;38;3;2;1,133900;0,7134300;1,000000;0,01508400;41;0,41;1,0000000;1,000000;0,09716700;P22;EC00075;Temp;Female;1,763823970367757
Aspartate and asparagine metabolism;84;11;1;1,275600;0,7564200;1,000000;0,01930900;44;0,44;1,0000000;1,000000;0,09716700;P23;EC00061;Temp;Female;0,783944810285356
Sialic acid metabolism;89;14;1;1,275600;0,7564200;1,000000;0,01930900;55;0,55;1,0000000;1,000000;0,09716700;P24;EC000126;Temp;Female;0,783944810285356
Arachidonic acid metabolism;73;17;1;2,267700;0,9252100;1,000000;0,06428400;85;0,85;1,0000000;1,000000;0,09716700;P25;EC00016;Temp;Female;0,440975437668122
Glycosphingolipid metabolism;56;9;5;1,449600;0,0376500;0,136250;0,00054361;7;0,07;0,8283000;1,000000;0,01195942;P1;"EC00017;EC00022;EC00037;EC000106";PFOS;Female;3,449227373068433
Fatty Acid Metabolism;35;3;2;0,527130;0,0827390;0,412540;0,00066247;3;0,03;1,0000000;1,000000;0,01391187;P2;"EC00017;EC00019";PFOS;Female;3,794130480147212
Linoleate metabolism;30;6;3;0,527130;0,0827390;0,412540;0,00066247;6;0,06;1,0000000;1,000000;0,01391187;P3;"EC00072;EC000110";PFOS;Female;5,691195720220819
Putative anti-Inflammatory metabolites formation from EPA;19;3;2;0,527130;0,0827390;0,412540;0,00066247;11;0,11;1,0000000;1,000000;0,01391187;P4;"EC000102;EC000126";PFOS;Female;3,794130480147212
Saturated fatty acids beta-oxidation;27;3;2;0,527130;0,0827390;0,412540;0,00066247;3;0,03;1,0000000;1,000000;0,01391187;P5;"EC00017;EC00019";PFOS;Female;3,794130480147212
Carnitine shuttle;62;3;2;0,658910;0,1272400;0,487140;0,00080650;11;0,11;1,0000000;1,000000;0,01391187;P6;"EC00019;EC00061";PFOS;Female;3,035315900502345
Xenobiotics metabolism;103;1;1;0,131780;0,1307700;1,000000;0,00081926;6;0,06;1,0000000;1,000000;0,01391187;P7;EC00017;PFOS;Female;7,588404917286386
Fructose and mannose metabolism;37;5;1;0,263570;0,2453200;1,000000;0,00137140;6;0,06;1,0000000;1,000000;0,02057100;P8;EC00032;PFOS;Female;3,794058504382137
Glutathione Metabolism;16;2;1;0,263570;0,2453200;1,000000;0,00137140;23;0,23;1,0000000;1,000000;0,02057100;P9;EC00055;PFOS;Female;3,794058504382137
Lysine metabolism;43;1;1;0,263570;0,2453200;1,000000;0,00137140;11;0,11;1,0000000;1,000000;0,02057100;P10;EC00019;PFOS;Female;3,794058504382137
Glycosphingolipid biosynthesis - globoseries;17;3;1;0,395350;0,3455500;1,000000;0,00217860;22;0,22;1,0000000;1,000000;0,02614320;P11;EC000128;PFOS;Female;2,529404325281396
Phosphatidylinositol phosphate metabolism;48;4;1;0,527130;0,4331500;1,000000;0,00330380;36;0,36;1,0000000;1,000000;0,03634180;P12;EC00017;PFOS;Female;1,897065240073606
Arginine and Proline Metabolism;48;7;1;0,658910;0,5096300;1,000000;0,00480800;38;0,38;1,0000000;1,000000;0,04808000;P13;EC00055;PFOS;Female;1,517657950251172
Valine- leucine and isoleucine degradation;66;6;1;0,658910;0,5096300;1,000000;0,00480800;50;0,50;1,0000000;1,000000;0,04808000;P14;EC00031;PFOS;Female;1,517657950251172
C21-steroid hormone biosynthesis and metabolism;77;14;2;0,922480;0,6344100;1,000000;0,00916210;43;0,43;1,0000000;1,000000;0,07329680;P15;EC00056;PFOS;Female;2,168068684415922
Omega-3 fatty acid metabolism;38;3;2;1,054300;0,6849400;1,000000;0,01209000;54;0,54;1,0000000;1,000000;0,08463000;P16;EC00077;PFOS;Female;1,896993265673907
Glycerophospholipid metabolism;146;13;3;2,240300;0,6910900;0,908770;0,01251600;66;0,66;1,0000000;1,000000;0,08463000;P17;"EC00022;EC00037";PFOS;Female;1,339106369682632
De novo fatty acid biosynthesis;73;7;2;2,372100;0,7238400;0,921690;0,01510200;74;0,74;1,0000000;1,000000;0,08463000;P18;"EC00017;EC00061";PFOS;Female;0,843134775093799
Aspartate and asparagine metabolism;84;11;2;1,186000;0,7288400;1,000000;0,01555000;62;0,62;1,0000000;1,000000;0,08463000;P19;EC00055;PFOS;Female;1,686340640809444
Sialic acid metabolism;89;14;1;1,186000;0,7288400;1,000000;0,01555000;43;0,43;1,0000000;1,000000;0,08463000;P20;EC000128;PFOS;Female;0,843170320404722
Fatty acid activation;78;9;2;3,162800;0,8674400;0,969650;0,03855600;88;0,88;1,0000000;1,000000;0,08463000;P21;"EC00017;EC00061";PFOS;Female;0,632351081320349
Arachidonic acid metabolism;73;17;1;2,240300;0,9223700;1,000000;0,06126500;85;0,85;1,0000000;1,000000;0,08463000;P22;EC000104;PFOS;Female;0,446368789894211
Fatty Acid Metabolism;35;3;3;0,589150;0,0098104;0,092043;0,00056988;4;0,04;0,2158288;1,000000;0,01253736;P1;"EC00014;EC00017;EC00019";AcidTemp;Female;5,092081812781125
Saturated fatty acids beta-oxidation;27;3;3;0,589150;0,0098104;0,092043;0,00056988;3;0,03;0,2158288;1,000000;0,01253736;P2;"EC00017;EC00019;EC00060";AcidTemp;Female;5,092081812781125
Tryptophan metabolism;78;3;2;0,441860;0,0557640;0,362920;0,00069124;9;0,09;1,0000000;1,000000;0,01382480;P3;"EC0006;EC00042";AcidTemp;Female;4,526320554021636
Vitamin B6 (pyridoxine) metabolism;15;1;1;0,147290;0,1461500;1,000000;0,00101540;5;0,05;1,0000000;1,000000;0,01929260;P4;EC00039;AcidTemp;Female;6,789327177676692
Xenobiotics metabolism;103;1;1;0,147290;0,1461500;1,000000;0,00101540;21;0,21;1,0000000;1,000000;0,01929260;P5;EC00017;AcidTemp;Female;6,789327177676692
Carnitine shuttle;62;3;2;0,736430;0,1547200;0,531330;0,00105340;11;0,11;1,0000000;1,000000;0,01929260;P6;"EC00019;EC00060";AcidTemp;Female;2,715804625015276
Fatty acid activation;78;9;4;3,534900;0,2536900;0,434060;0,00162000;29;0,29;1,0000000;1,000000;0,02592000;P7;"EC00017;EC00092;EC000117;EC000118;EC000119";AcidTemp;Female;1,131573736173583
Lysine metabolism;43;1;1;0,294570;0,2719100;1,000000;0,00175560;19;0,19;1,0000000;1,000000;0,02633400;P8;EC00019;AcidTemp;Female;3,394778830159215
Bile acid biosynthesis;64;14;2;1,178300;0,3308400;0,707240;0,00228310;16;0,16;1,0000000;1,000000;0,03196340;P9;"EC00014;EC000112";AcidTemp;Female;1,697360604260375
Omega-3 fatty acid metabolism;38;3;3;1,178300;0,3308400;0,707240;0,00228310;15;0,15;1,0000000;1,000000;0,03196340;P10;"EC00076;EC00092";AcidTemp;Female;2,546040906390563
Glycosphingolipid biosynthesis - globoseries;17;3;1;0,441860;0,3799900;1,000000;0,00285280;30;0,30;1,0000000;1,000000;0,03423360;P11;EC000128;AcidTemp;Female;2,263160277010818
Vitamin A (retinol) metabolism;55;14;4;2,503900;0,4685900;0,723840;0,00430570;25;0,25;1,0000000;1,000000;0,04736270;P12;"EC000120;EC000121;EC000122";AcidTemp;Female;1,597507887695196
